Name;Category;min;max;avg;skewness;variance;energy;kurtosis
A8.png;Artefact;0.7323694435;1.103747629;1.294873736;-1.001167571;0.08743400082;6158.292354;1.003747892 
A4.png;Artefact;0.3793245327;1.029502836;1.415761556;-1.001388308;0.1733955262;10026.05949;1.005422019 
A25.png;Artefact;0.9456006986;1.281027363;1.334123239;-1.000576354;0.1122396448;3738.132899;1.001430741 
A21.png;Artefact;-0.4376925372;1.145909733;1.407487197;-1.018042502;0.1678608234;3700.549691;1.104499135 
D103.png;Defect;0.01013236285;1.432516847;1.197280491;-1.061693551;0.04042134428;3384.806374;1.422058737 
D19.png;Defect;0.9361386267;1.060468268;1.458454998;-1.000342019;0.2106135303;2308.172826;1.000915869 
D33.png;Defect;0.3125086154;1.264578368;1.281443313;-1.033306808;0.08155543141;1454.658202;1.150244695 
D49.png;Defect;0.4245963581;1.644604356;1.436789097;-1.001238889;0.1914011457;9792.587361;1.00400626 
D55.png;Defect;0.2437692621;1.855403192;1.450612079;-1.00260081;0.2037702635;5320.481066;1.010401685 
D63.png;Defect;0.755906877;1.040748127;1.388924594;-1.000594888;0.1519664171;4252.081314;1.001752156 
D69.png;Defect;0.588861532;1.046703722;1.443848599;-1.000510763;0.1975035066;9685.751616;1.001577382 
