Name;Category;minFrequence;maxFrequence;avgFrequence;skewnessFrequence;varianceFrequence;energyFrequence;kurtosisFrequence;minAmplitude;maxAmplitude;avgAmplitude;skewnessAmplitude;varianceAmplitude;energyAmplitude;kurtosisAmplitude
A8.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2754.17;145.0696742;3.995409372;42772.51226;2.615212846e+10;33.29248202 
A4.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;3024.38;115.1682841;6.976329027;26624.64388;2.650528944e+10;85.06492167 
A25.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2012.23;154.1896443;2.758609726;35975.87772;1.33584715e+10;18.50221669 
A21.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2745.44;292.0525111;0.9526400418;99652.46671;3.662303081e+10;6.369988018 
D103.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;3430.77;259.8107831;2.644548353;135540.8519;4.562478309e+10;14.91707109 
D19.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;474.23;96.79352433;-0.2113601769;6454.682233;1486077336;2.562501355 
D33.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2699.04;319.8968865;1.886259213;192239.3801;2.780831512e+10;8.714781365 
D49.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;3820.66;268.4157152;1.68914469;74495.72931;7.240072206e+10;16.15238985 
D55.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2844.51;221.2903718;1.857659366;55466.07655;2.927416775e+10;14.92639409 
D63.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2009.16;152.7010821;2.277458664;31844.49606;1.34545981e+10;16.07049162 
D69.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2814.53;146.370745;3.916747133;24721.93849;2.379296198e+10;44.76793967 
