Name;Category;min;max;avg;skewness;variance;energy;kurtosis
A8.png;Artefact;0.0;1.0;0.004505528019;14.85426023;0.002243885857;127.0;246.5361079 
A4.png;Artefact;0.0;1.0;0.005261476720;13.72564180;0.002469062890;140.0;213.2741994 
A25.png;Artefact;0.0;1.0;0.004209645748;15.05874320;0.002103522137;119.0;253.0355788 
A21.png;Artefact;0.0;1.0;0.005258147659;13.45917459;0.002933558637;166.0;196.1864164 
D103.png;Defect;0.0;1.0;0.003835612625;16.01062771;0.002035187613;115.0;281.1155957 
D19.png;Defect;0.0;1.0;0.003568037148;16.66251997;0.001894439011;107.0;303.8115462 
D33.png;Defect;0.0;1.0;0.003379606154;17.44336152;0.001788940369;101.0;331.8072409 
D49.png;Defect;0.0;1.0;0.009149186729;9.563265613;0.004142963197;237.0;107.1708007 
D55.png;Defect;0.0;1.0;0.005471654066;13.22147620;0.002893787561;164.0;193.7178231 
D63.png;Defect;0.0;1.0;0.004354576496;14.82066366;0.002173587847;123.0;246.330629 
D69.png;Defect;0.0;1.0;0.005099529407;13.58406919;0.002380884831;135.0;211.7977962 
