Name;Category;Hu 1;Hu 2;Hu 3;Hu 4;Hu 5;Hu 6;Hu 7
A8.png;Artefact;0.000666653;2.17509e-11;6.99853e-15;5.92951e-14;-1.15158e-27;-2.74357e-19;3.64535e-28
A4.png;Artefact;0.000705511;1.70027e-09;1.39782e-12;1.2778e-12;-7.62981e-25;-4.42994e-17;1.52782
A25.png;Artefact;0.000653707;2.56488e-14;1.76157e-17;8.63321e-18;-9.11355e-35;-1.34223e-24;5.50383e-35
A21.png;Artefact;0.000659853;7.17873e-13;8.79548e-16;1.78851e-15;-1.41773e-30;-1.19997e-21;1.73838e-30
D103.png;Defect;0.000661401;1.54637e-11;1.46347e-14;7.99704e-15;4.1489e-30;-1.53168e-20;-8.64143e-29
D19.png;Defect;0.00065798;8.22912e-12;4.30556e-15;9.66019e-15;-6.22853e-29;-2.77099e-20;-1.38915e-30
D33.png;Defect;0.000655352;4.00281e-12;2.65776e-15;1.98085e-15;-4.20175e-30;-3.91373e-21;1.73279e-30
D49.png;Defect;0.000716954;2.3181e-10;3.30367e-14;7.07269e-13;-7.9794e-25;-1.02869e-17;-7.29463e-15
D55.png;Defect;0.000680104;1.31054e-12;2.21037e-15;7.95428e-14;1.01118e-27;2.90299e-20;-2.99892e-28
D63.png;Defect;0.000658127;4.04144e-12;1.37403e-15;8.17403e-15;-2.71035e-29;-1.63881e-20;4.03115e-30
D69.png;Defect;0.000675633;4.97322e-11;1.65392e-14;1.50011e-13;-7.25475e-27;-1.05233e-18;1.78892e-27
