Name;Category;Energy;Contrast;Homogenity;IDM;Entropy;Mean1
A8.png;Artefact;62005;0;251;0;-597.255676;63495 
A4.png;Artefact;54545;0;249;0;-570.859863;59415 
A25.png;Artefact;64009;0;253;0;-607.989502;64515
A21.png;Artefact;64010;0;254;0;-607.989502;64515
D103.png;Defect;63508;0;254;0;-605.755005;64260
D19.png;Defect;64010;0;254;0;-607.989502;64515
D33.png;Defect;64009;0;253;0;-607.989502;64515
D49.png;Defect;57346;0;254;0;-586.078491;60945
D55.png;Defect;61540;0;254;0;-598.492920;63240
D63.png;Defect;63504;0;252;0;-605.152954;64260
D69.png;Defect;60525;0;249;0;-589.601379;62730 
